"Санкт-Петербург, проспект Ветеранов, 75к1, подъезд 1, Дачное, Санкт-Петербург",190.0,16/17,372,28900000,5,17,2008
"Санкт-Петербург, Ленинский проспект, 138к2, Княжево, Санкт-Петербург",27.0,9/9,374,3100000,1,9,1965
"ул Апрельская, д. 5, Полюстрово, Санкт-Петербург",31.0,8/9,375,3300000,1,9,1969
"Санкт-Петербург, Железноводская улица, 60, Остров Декабристов, Санкт-Петербург",54.0,2/10,376,7600000,3,9,1965
"Санкт-Петербург, проспект Королёва, 65, подъезд 1, Коломяги, Санкт-Петербург",58.4,18/24,378,7600000,2,25,2011
"посёлок Парголово, Санкт-Петербург, улица Фёдора Абрамова, 23к1, Парголово, Санкт-Петербург",42.0,24/25,379,5000000,1,28,2015
"Санкт-Петербург, переулок Пирогова, 6, Адмиралтейский округ, Санкт-Петербург",78.0,3/5,380,15350000,2,4,1830
"Санкт-Петербург, проспект Ветеранов, 88, Ульянка, Санкт-Петербург",64.1,3/9,381,6400000,3,9,1969
"Санкт-Петербург, улица Адмирала Черокова, 18к3, Южно-Приморский округ, Санкт-Петербург",25.2,12/17,382,3800000,0,19,2014
"Парголово п, Фёдора Абрамова ул, 18к1, Парголово, Санкт-Петербург",37.0,16/25,384,3950000,1,28,2014
"Санкт-Петербург, Пушкин, Оранжерейная улица, 63, Пушкин, Санкт-Петербург",40.0,3/3,385,5600000,1,3,1960
"Санкт-Петербург, Дунайский проспект, 28к2, Гагаринское, Санкт-Петербург",68.0,8/22,388,9800000,2,24,2008
"Санкт-Петербург, проспект Кузнецова, 11к1, Южно-Приморский округ, Санкт-Петербург",60.2,8/25,389,7750000,2,25,2013
"территория Горелово, Санкт-Петербург, Красносельское шоссе, 54к6, подъезд 3, Горелово, Санкт-Петербург",58.0,8/16,391,5600000,2,16,2012
"Санкт-Петербург, проспект Энгельса, 93, Светлановское, Санкт-Петербург",150.8,22/24,394,30000000,3,25,2005
"Россия, г.Санкт-Петербург, Ярославский пр., д.23, Светлановское, Санкт-Петербург",86.6,2/8,400,13150000,2,8,2014
"Санкт-Петербург, Южное шоссе, 47к4, № 75, Санкт-Петербург",37.7,4/25,408,5190000,1,25,2017
"Санкт-Петербург, Шлиссельбургский проспект, 34к2, Рыбацкое, Санкт-Петербург",78.0,5/12,409,9180000,3,12,1988
"Россия, г.Санкт-Петербург, Ярославский пр., д.23, Светлановское, Санкт-Петербург",60.5,6/8,412,11100000,2,8,2014
"Тихорецкий пр-кт, 1к1, Академическое, Санкт-Петербург",68.5,1/5,420,7000000,3,5,1933
"Санкт-Петербург, Тимуровская улица, 12, Прометей, Санкт-Петербург",60.0,6/9,428,6800000,3,9,1972
"Россия, г.Санкт-Петербург, Ярославский пр., д.27, Светлановское, Санкт-Петербург",117.2,3/8,431,18300000,3,10,2013
"Санкт-Петербург, проспект Королёва, 29к1, Озеро Долгое, Санкт-Петербург",50.7,14/16,432,7220000,2,12,1987
"Россия, г.Санкт-Петербург, Ярославский пр., д.23, Светлановское, Санкт-Петербург",91.4,3/8,434,13650000,2,8,2014
"Россия, г.Санкт-Петербург, Ярославский пр., д.23, Светлановское, Санкт-Петербург",92.0,5/8,436,14050000,2,8,2014
"Санкт-Петербург, Шуваловский проспект, 37к1, Коломяги, Санкт-Петербург",53.7,20/24,437,6750000,2,24,2012
"Санкт-Петербург, Верейская улица, 47, Семёновский, Санкт-Петербург",68.3,6/7,438,8700000,2,6,1978
